norm,description,citation,category,source,associated_embed,type
context_diversity_blog_gimenes,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from Blog containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,SCOPE,,numeric
context_diversity_twitter_gimenes,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from Twitter containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,SCOPE,,numeric
context_diversity_news_gimenes,"Log10 version of the contextual diversity of a word, which refers to the number of passages (documents) in the sources from newspapers containing a particular word.","Gimenes, M. and B. New (2016). ""Worldlex: Twitter and blog word frequencies for 66 languages."" Behavior Research Methods48(3): 963-972.",semantic_diversity,SCOPE,,numeric
familiarity_glasgow,A word’s subjective familarity on a 1 (unfamiliar) to 7 (familiar) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",familiarity,SCOPE & lit_search,,numeric
familiarity_brysbaert,Percentage of participants who know the word well enough to give answer for the concreteness rating.,"Brysbaert, M., et al. (2014). ""Concreteness ratings for 40 thousand generally known English word lemmas."" Behavior Research Methods46(3): 904-911.",familiarity,SCOPE & lit_search,,numeric
prevalence_brysbaert,"The proportion of people who know the word, in which participants were asked to indicate whether or not they knew the stimulus in a list of words and nonwords, in an online crowdsourcing study. Percentages were translated to z values on the basis of cumulative normal distribution. A word known by 2.5% of the participants corresponds to a word prevalence of -1.96; a word known by 97.5% of the participants corresponds to a prevalence of +1.96.","Brysbaert, M., et al. (2019). ""Word prevalence norms for 62,000 English lemmas."" Behavior Research Methods51(2): 467-479.",familiarity,SCOPE & lit_search,,numeric
aoa_kuperman,"The age at which people acquired the word, in which  participants were asked to enter the age (in years) at which they thought they had learned the word.","Kuperman, V., et al. (2012). ""Age-of-acquisition ratings for 30,000 English words."" Behavior Research Methods44(4): 978-990.",age_of_acquisition,SCOPE & lit_search,,numeric
aoa_brysbaert,"The age at which people acquired the word, in which a three-choice test was administered to participants in grades 4 to 16 (college) (Living Word Vocabulary database).","Brysbaert, M. (2017). ""Age of acquisition ratings score better on criterion validity than frequency trajectory or ratings “corrected” for frequency."" Quarterly Journal of Experimental Psychology70(7): 1129-1139. Dale, E. and J. O’Rourke (1981). The Living Word Vocabulary. Chicago: World Book-Childcraft International, Inc.",age_of_acquisition,SCOPE,,numeric
aoa_glasgow,"Rated age of acquisition, which indicates the age at which people acquired the word on 1 (early) to 7 (late) scale.","Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",age_of_acquisition,SCOPE & lit_search,,numeric
frequency_trajectory_brysbaert,How experience with a word is distributed over time based on the TASA corpus. It was computed by first taking logarithms of the frequencies and then transforming them to z-values for low (first three grades) and high grades (last three grades) respectively.,"Brysbaert, M. (2017). ""Age of acquisition ratings score better on criterion validity than frequency trajectory or ratings “corrected” for frequency."" Quarterly Journal of Experimental Psychology70(7): 1129-1139.",frequency,SCOPE,,numeric
pos_brysbaert,The dominant grammatical category to which a word is assigned in accordance with its syntactic functions.,"Brysbaert, M., et al. (2012). ""Adding part-of-speech information to the SUBTLEX-US word frequencies."" Behavior Research Methods44(4): 991-997.",part_of_speech,SCOPE,,multiclass
pos_vanheuven,The dominant grammatical category to which a word is assigned in accordance with its syntactic functions.,"Van Heuven, W. J., et al. (2014). ""SUBTLEX-UK: A new and improved word frequency database for British English."" Quarterly Journal of Experimental Psychology67(6): 1176-1190.",part_of_speech,SCOPE,,multiclass
concreteness_brysbaert,The degree to which the concept can be experienced directly through the senses from a 1 (abstract) to 5 (concrete) scale.,"Brysbaert, M., et al. (2014). ""Concreteness ratings for 40 thousand generally known English word lemmas."" Behavior Research Methods46(3): 904-911.",concreteness,SCOPE & lit_search,,numeric
concreteness_glasgow,The degree to which the concept can be experienced directly through the senses from a 1 (abstract) to 7 (concrete) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",concreteness,SCOPE & lit_search,,numeric
imageability_glasgow,The degree of effort involved in generating a mental image of the concept on a 1 (unimageable) to 7 (imageable) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",imageability,SCOPE & lit_search,,numeric
n_senses_wordnet_miller,Number of senses based on the WordNet database.,"Miller, G. A. (1995). ""WordNet: a lexical database for English."" Communications of the ACM38(11): 39-41.",semantic_diversity,SCOPE,,numeric
n_senses_wordsmyth_rice,Number of senses based on the Wordsmyth dictionary.,"Rice, C. A., et al. (2019). ""A comparison of homonym meaning frequency estimates derived from movie and television subtitles, free association, and explicit ratings."" Behavior Research Methods51(3): 1399-1425.",semantic_diversity,SCOPE,,numeric
n_meanings_wordsmyth_rice,Number of meanings based on the Wordsmyth dictionary.,"Rice, C. A., et al. (2019). ""A comparison of homonym meaning frequency estimates derived from movie and television subtitles, free association, and explicit ratings."" Behavior Research Methods51(3): 1399-1425.",semantic_diversity,SCOPE,,numeric
n_meanings_websters_gao,Number of meanings based on the Websters dictionary.,"Gao, C., Shinkareva, S. V., & Desai, R. H. (2023). SCOPE: the South Carolina psycholinguistic metabase. Behavior Research Methods, 55(6), 2853-2884.",semantic_diversity,SCOPE,,numeric
n_features_buchanan,Number of features listed for the word. This measure was obtained by asking participants to provide lists of features for each concept presented.,"Buchanan, E. M., et al. (2019). ""English semantic feature production norms: An extended database of 4436 concepts."" Behavior Research Methods51(4): 1849-1863.",number_of_features,SCOPE & lit_search,,numeric
visual_lancaster,"To what extent one experiences the referent by seeing, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,SCOPE & lit_search,norms_sensorimotor,numeric
auditory_lancaster,"To what extent one experiences the referent by hearing, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,SCOPE & lit_search,norms_sensorimotor,numeric
haptic_lancaster,"To what extent one experiences the referent by feeling through touch, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,SCOPE & lit_search,norms_sensorimotor,numeric
olfactory_lancaster,"To what extent one experiences the referent by smelling, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,SCOPE & lit_search,norms_sensorimotor,numeric
gustatory_lancaster,"To what extent one experiences the referent by tasting, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",sensory,SCOPE & lit_search,norms_sensorimotor,numeric
interoceptive_lancaster,"To what extent one experiences the referent by sensations inside one’s body, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
head_lancaster,"To what extent one experiences the referent by performing an action with the head, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
torso_lancaster,"To what extent one experiences the referent by performing an action with the torso, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
mouth_throat_lancaster,"To what extent one experiences the referent by performing an action with the Mouth/throat, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
hand_arm_lancaster,"To what extent one experiences the referent by performing an action with the hand/arm, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
foot_leg_lancaster,"To what extent one experiences the referent by performing an action with the foot/leg, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,SCOPE & lit_search,norms_sensorimotor,numeric
body_object_interact_pexman,The ease with which the human body can interact with a word’s referent on a scale from 1 (low interaction) to 7 (high interaction).,"Pexman, P. M., et al. (2019). ""Quantifying sensorimotor experience: Body–object interaction ratings for more than 9,000 English words."" Behavior Research Methods51(2): 453-466.",motor,SCOPE & lit_search,,numeric
child_body_object_interact,The ease with which an average 6-year-old child can interact with each word’s referent on a scale from 1 (low interaction) to 7 (high interaction).,"Muraki, E. J., Siddiqui, I. A., & Pexman, P. M. (2022). Quantifying children’s sensorimotor experience: Child body–object interaction ratings for 3359 English words. Behavior Research Methods, 54(6), 2864-2877.",motor,SCOPE & lit_search,,numeric
semantic_size_glasgow,Magnitude of an object or concept expressed in either concrete (physical) or abstract terms on a 1 (small) to 7 (big) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",space/time/quantity,SCOPE & lit_search,,numeric
gender_association_glasgow,The degree to which words are considered to be associated with male or female behavior on a 1 (feminine) to 7 (masculine) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",social/moral,SCOPE & lit_search,,numeric
feature_visual_vinson,Feature weight that describes information associated with sense of vision as indicated by 0 or 1.,"Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",sensory,SCOPE & lit_search,,binary
feature_perceptual_vinson,"Feature weight that describes information gained through sensory input, including body state and proprioception as indicated by 0 or 1.","Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",sensory,SCOPE & lit_search,,binary
feature_functional_vinson,"Feature weight that refers to the purpose of a thing, or the purpose or goal of an action, as indicated by 0 or 1.","Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",motor,SCOPE & lit_search,,binary
feature_motoric_vinson,Feature weight that describes a motor component of an action as indicated by 0 or 1.,"Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",motor,SCOPE & lit_search,,binary
socialness_diveica,The extent to which a word's meaning has social relevance on a seven-point Likert scale from 1 to 7.,"Diveica, V., Pexman, P. M., & Binney, R. J. (2022). Quantifying social semantics: An inclusive definition of socialness and ratings for 8388 English words. Behavior Research Methods, 1-13.",social/moral,SCOPE,,numeric
valence_warriner,The pleasantness of a stimulus on a 1 (happy) to 9 (unhappy) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",valence,SCOPE & lit_search,,numeric
valence_glasgow,The pleasantness of a stimulus on a 1 (happy) to 9 (unhappy) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",valence,SCOPE & lit_search,,numeric
valence_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (negative) to 1 (positive).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",valence,SCOPE,,numeric
valence_older_kyrolainen,Participants with mean age of 70 were asked to provide a rating on a scale of 1 (unhappy) to 9 (happy) of how you felt while reading each word. If the participants feel completely neutral you should rate a 5 during the COVID-19 pandemic.,"Kyröläinen, A. J., Luke, J., Libben, G., & Kuperman, V. (2022). Valence norms for 3,600 English words collected during the COVID-19 pandemic: Effects of age and the pandemic. Behavior Research Methods, 54(5), 2445-2456.",valence,SCOPE & lit_search,,numeric
valence_younger_kyrolainen,Participants with mean age of 34 were asked to provide a rating on a scale of 1 (unhappy) to 9 (happy) of how you felt while reading each word. If the participants feel completely neutral you should rate a 5 during the COVID-19 pandemic.,"Kyröläinen, A. J., Luke, J., Libben, G., & Kuperman, V. (2022). Valence norms for 3,600 English words collected during the COVID-19 pandemic: Effects of age and the pandemic. Behavior Research Methods, 54(5), 2445-2456.",valence,SCOPE & lit_search,,numeric
arousal_warriner,The intensity of emotion provoked by a stimulus on a 1 (aroused) to 9 (calm) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",arousal,SCOPE & lit_search,,numeric
arousal_glasgow,The intensity of emotion provoked by a stimulus on a 1 (aroused) to 9 (calm) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",arousal,SCOPE & lit_search,,numeric
arousal_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (low arousal) to 1 (high arousal).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",arousal,SCOPE,,numeric
dominance_warriner,The degree of control exerted by a stimulus on a 1 (controlled) to 9 (in control) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",dominance,SCOPE & lit_search,,numeric
dominance_glasgow,The degree of control exerted by a stimulus on a 1 (controlled) to 9 (in control) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",dominance,SCOPE & lit_search,,numeric
dominance_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (low dominance) to 1 (high dominance).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",dominance,SCOPE,,numeric
humor_engelthaler,Overall humor ratings for words on a scale from 1 (humorless) to 5 (humorous).,"Engelthaler, T. and T. T. Hills (2018). ""Humor norms for 4,997 English words."" Behavior Research Methods50(3): 1116-1124.",social/moral,SCOPE & lit_search,,numeric
anger_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
anticipation_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
disgust_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
fear_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
joy_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
negative_emotion_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
positive_emotion_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
sadness_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
surprise_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
trust_mohammad,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.",emotion,SCOPE,,binary
semantic_diversity_hoffman,The degree to which different contexts associated with a word vary in their meanings.,"Hoffman, P., et al. (2013). ""Semantic diversity: A measure of semantic ambiguity based on variability in the contextual usage of words."" Behavior Research Methods45(3): 718-730.",semantic_diversity,SCOPE,,numeric
n_semantic_neighbors_shaoul,"The number of semantic neighbors within a threshold. The threshold is a distance in co-occurrence space, which is calculated by randomly sampling many word pairs and calculating their interword distances to obtain the mean and standard deviation of this distance distribution.","Shaoul, C. and C. Westbury (2006). ""Word frequency effects in high-dimensional co-occurrence models: A new approach."" Behavior Research Methods38(2): 190-195. Shaoul, C. and C. Westbury (2010). ""Exploring lexical co-occurrence space using HiDEx."" Behavior Research Methods 42(2): 393-413.


",semantic_neighborhood,SCOPE,,numeric
distance_semantic_neighbors_shaoul,"The average radius of co-occurrence, which is the average distance between the words in the semantic neighborhood and the target word.","Shaoul, C. and C. Westbury (2006). ""Word frequency effects in high-dimensional co-occurrence models: A new approach."" Behavior Research Methods38(2): 190-195. Shaoul, C. and C. Westbury (2010). ""Exploring lexical co-occurrence space using HiDEx."" Behavior Research Methods 42(2): 393-413.


",semantic_neighborhood,SCOPE,,numeric
association_frequency_dedeyne,The number of times that a word is one of the first three associates across all target words.,"De Deyne, S., et al. (2019). ""The “Small World of Words” English word association norms for over 12,000 cue words."" Behavior Research Methods51(3): 987-1006.",semantic_neighborhood,SCOPE & lit_search,PPMI_SVD_SWOW SGSoftMaxInput_SWOW SGSoftMaxOutput_SWOW,numeric
cue_setsize_nelson,"The number of different responses or targets given by two or more participants in the normative sample, which provides a relative index of the set size of a particular word by providing a reliable measure of how many strong associates it has.","Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,SCOPE & lit_search,,numeric
cue_connectedness_nelson,"The number of connections among the associates in a set divided by the size of the set, which captures the density and in some sense the level of organization among the strongest associates of the cue.","Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,SCOPE & lit_search,,numeric
cue_probability_nelson,The probability that each associate in a set produces the normed cue as an associate.,"Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,SCOPE & lit_search,,numeric
cue_resonance_strength_nelson,Cue resonance strength. This is calculated by cross-multiplying cue-to-associate strength by associate-to-cue strength for each associate in a set and then summing the result.,"Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,SCOPE & lit_search,,numeric
visual_lexical_rt_balota,The mean visual lexical decision latency (in msec) for a particular word across participants from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",visual_lexical_decision,SCOPE,,numeric
visual_lexical_rt_mandera,"The mean visual lexical decision latency (in msec) for a particular word in the word knowledge task across participants from the English Crowdsourcing Project. This task is similar, but not identical, to the traditional lexical decision task. Participants were asked to indicate whether each item “is a word you know or not.” Their results showed that RTs in this task correlate well with those from lexical decision in ELP and BLP, and hence we have labelled it as such. It should be noted that in this task, participants were not instructed to respond quickly, and were discouraged to guess (large penalty for labelling nonwords as a known word).","Mandera, P., et al. (2019). ""Recognition times for 62 thousand English words: Data from the English Crowdsourcing Project."" Behavior Research Methods: 1-20.",visual_lexical_decision,SCOPE,,numeric
