norm,description,citation,category,associated_embed,type,n_ratings
Head_Lanc,"To what extent one experiences the referent by performing an action with the head, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
Torso_Lanc,"To what extent one experiences the referent by performing an action with the torso, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
Mouth_Throat_Lanc,"To what extent one experiences the referent by performing an action with the Mouth/throat, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
Hand_Arm_Lanc,"To what extent one experiences the referent by performing an action with the hand/arm, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
Foot_Leg_Lanc,"To what extent one experiences the referent by performing an action with the foot/leg, from 0 (not experienced at all) to 5 (experienced greatly).","Lynott, D., et al. (2020). ""The Lancaster Sensorimotor Norms: Multidimensional measures of Perceptual and Action Strength for 40,000 English words."" Behavior Research Methods52(3): 1271-1291.",motor,norms_sensorimotor,numeric,36808
BOI,The ease with which the human body can interact with a word’s referent on a scale from 1 (low interaction) to 7 (high interaction).,"Pexman, P. M., et al. (2019). ""Quantifying sensorimotor experience: Body–object interaction ratings for more than 9,000 English words."" Behavior Research Methods51(2): 453-466.",motor,,numeric,9314
CBOI,The ease with which an average 6-year-old child can interact with each word’s referent on a scale from 1 (low interaction) to 7 (high interaction).,"Muraki, E. J., Siddiqui, I. A., & Pexman, P. M. (2022). Quantifying children’s sensorimotor experience: Child body–object interaction ratings for 3359 English words. Behavior Research Methods, 54(6), 2864-2877.",motor,,numeric,3353
Sem_Size_Glasgow,Magnitude of an object or concept expressed in either concrete (physical) or abstract terms on a 1 (small) to 7 (big) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",space/time/quantity,,numeric,4668
Gender_Assoc_Glasgow,The degree to which words are considered to be associated with male or female behavior on a 1 (feminine) to 7 (masculine) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",social/moral,,numeric,4668
Feature_Visual,Feature weight that describes information associated with sense of vision as indicated by 0 or 1.,"Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",sensory,,binary,978
Feature_Perceptual,"Feature weight that describes information gained through sensory input, including body state and proprioception as indicated by 0 or 1.","Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",sensory,,binary,978
Feature_Functional,"Feature weight that refers to the purpose of a thing, or the purpose or goal of an action, as indicated by 0 or 1.","Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",motor,,binary,978
Feature_Motoric,Feature weight that describes a such motor component of an action as indicated by 0 or 1.,"Vinson, D. P. and G. Vigliocco (2008). ""Semantic feature production norms for a large set of objects and events."" Behavior Research Methods40(1): 183-190.",motor,,binary,978
Sensory_Experience,"The extent to which a word evokes a sensory and/or perceptual experience in the mind of the reader on a 1 to 7 scale, with higher numbers indicating a greater sensory experience.","Juhasz, B.J., Yap, M.J. Sensory experience ratings for over 5,000 mono- and disyllabic words. Behav Res 45, 160–168 (2013).",sensory,,numeric,5855
Socialness,The extent to which a word's meaning has social relevance on a seven-point Likert scale from 1 to 7.,"Diveica, V., Pexman, P. M., & Binney, R. J. (2022). Quantifying social semantics: An inclusive definition of socialness and ratings for 8388 English words. Behavior Research Methods, 1-13.",social/moral,,numeric,8387
Valence_Warr,The pleasantness of a stimulus on a 1 (happy) to 9 (unhappy) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",valence,,numeric,13784
Valence_Glasgow,The pleasantness of a stimulus on a 1 (happy) to 9 (unhappy) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",valence,,numeric,4668
Valence_NRC,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (negative) to 1 (positive).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",valence,,numeric,19382
Valence_Covid_Younger,Participants with mean age of 34 were asked to provide a rating on a scale of 1 (unhappy) to 9 (happy) of how you felt while reading each word. If the participants feel completely neutral you should rate a 5 during the COVID-19 pandemic,"Kyröläinen, A. J., Luke, J., Libben, G., & Kuperman, V. (2022). Valence norms for 3,600 English words collected during the COVID-19 pandemic: Effects of age and the pandemic. Behavior Research Methods, 54(5), 2445-2456.",valence,,numeric,3600
Valence_Covid_Older,Participants with mean age of 70 were asked to provide a rating on a scale of 1 (unhappy) to 9 (happy) of how you felt while reading each word. If the participants feel completely neutral you should rate a 5 during the COVID-19 pandemic,"Kyröläinen, A. J., Luke, J., Libben, G., & Kuperman, V. (2022). Valence norms for 3,600 English words collected during the COVID-19 pandemic: Effects of age and the pandemic. Behavior Research Methods, 54(5), 2445-2456.",valence,,numeric,3600
Arousal_Warr,The intensity of emotion provoked by a stimulus on a 1 (aroused) to 9 (calm) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",arousal,,numeric,13784
Arousal_Glasgow,The intensity of emotion provoked by a stimulus on a 1 (aroused) to 9 (calm) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",arousal,,numeric,4668
Arousal_NRC,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (low arousal) to 1 (high arousal).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",arousal,,numeric,19382
Dominance_Warr,The degree of control exerted by a stimulus on a 1 (controlled) to 9 (in control) scale.,"Warriner, A. B., et al. (2013). ""Norms of valence, arousal, and dominance for 13,915 English lemmas."" Behavior Research Methods45(4): 1191-1207.",dominance,,numeric,13784
Dominance_Glasgow,The degree of control exerted by a stimulus on a 1 (controlled) to 9 (in control) scale.,"Scott, G. G., et al. (2019). ""The Glasgow Norms: Ratings of 5,500 words on nine scales."" Behavior Research Methods51(3): 1258-1270.",dominance,,numeric,4668
Dominance_NRC,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with scores ranging from 0 (low dominance) to 1 (high dominance).","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",dominance,,numeric,19382
Humor_Overall_Enge,Overall humor ratings for words on a scale from 1 (humorless) to 5 (humorous).,"Engelthaler, T. and T. T. Hills (2018). ""Humor norms for 4,997 English words."" Behavior Research Methods50(3): 1116-1124.",social/moral,,numeric,4996
Emot_Assoc_Anger,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Anticipation,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Disgust,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Fear,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Joy,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Negative,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Positive,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Sadness,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Surprise,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Emot_Assoc_Trust,"Word-emotion association built by manual annotation using Best-Worst Scaling method, with 0 (not associated) and 1 (associated) ratings for 10 emotions: positive, negative, anger, anticipation, disgust, fear, joy, sadness, surprise, and trust.","Mohammad, S. and P. Turney (2010). Emotions evoked by common words and phrases: Using mechanical turk to create an emotion lexicon. Proceedings of the NAACL HLT 2010 workshop on computational approaches to analysis and generation of emotion in text. Mohammad, S. M. and P. D. Turney (2013). ""Crowdsourcing a word–emotion association lexicon."" Computational intelligence 29(3): 436-465.


",emotion,,binary,14109
Sem_Diversity,The degree to which different contexts associated with a word vary in their meanings.,"Hoffman, P., et al. (2013). ""Semantic diversity: A measure of semantic ambiguity based on variability in the contextual usage of words."" Behavior Research Methods45(3): 718-730.",semantic_diversity,,numeric,30557
Sem_N,"The number of semantic neighbors within a threshold. The threshold is a distance in co-occurrence space, which is calculated by randomly sampling many word pairs and calculating their interword distances to obtain the mean and standard deviation of this distance distribution.","Shaoul, C. and C. Westbury (2006). ""Word frequency effects in high-dimensional co-occurrence models: A new approach."" Behavior Research Methods38(2): 190-195. Shaoul, C. and C. Westbury (2010). ""Exploring lexical co-occurrence space using HiDEx."" Behavior Research Methods 42(2): 393-413.


",semantic_neighborhood,,numeric,52008
Sem_N_D,"The average radius of co-occurrence, which is the average distance between the words in the semantic neighborhood and the target word.","Shaoul, C. and C. Westbury (2006). ""Word frequency effects in high-dimensional co-occurrence models: A new approach."" Behavior Research Methods38(2): 190-195. Shaoul, C. and C. Westbury (2010). ""Exploring lexical co-occurrence space using HiDEx."" Behavior Research Methods 42(2): 393-413.


",semantic_neighborhood,,numeric,52008
Assoc_Freq_Token123,The number of times that a word is one of the first three associates across all target words.,"De Deyne, S., et al. (2019). ""The “Small World of Words” English word association norms for over 12,000 cue words."" Behavior Research Methods51(3): 987-1006.",semantic_neighborhood,PPMI_SVD_SWOW SGSoftMaxInput_SWOW SGSoftMaxOutput_SWOW,numeric,29722
Cue_SetSize,"The number of different responses or targets given by two or more participants in the normative sample, which provides a relative index of the set size of a particular word by providing a reliable measure of how many strong associates it has.","Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,,numeric,4954
Cue_MeanConn,"The number of connections among the associates in a set divided by the size of the set, which captures the density and in some sense the level of organization among the strongest associates of the cue.","Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,,numeric,4954
Cue_Prob,The probability that each associate in a set produces the normed cue as an associate.,"Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,,numeric,4954
Cue_ResoStrength,Cue resonance strength. This is calculated by cross-multiplying cue-to-associate strength by associate-to-cue strength for each associate in a set and then summing the result.,"Nelson, D. L., et al. (2004). ""The University of South Florida free association, rhyme, and word fragment norms."" Behavior Research Methods, Instruments, & Computers36(3): 402-407.",semantic_neighborhood,,numeric,4954
LexicalD_RT_V_ELP,The mean visual lexical decision latency (in msec) for a particular word across participants from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",visual_lexical_decision,,numeric,40467
LexicalD_RT_V_ECP,"The mean visual lexical decision latency (in msec) for a particular word in the word knowledge task across participants from the English Crowdsourcing Project. This task is similar, but not identical, to the traditional lexical decision task. Participants were asked to indicate whether each item “is a word you know or not.” Their results showed that RTs in this task correlate well with those from lexical decision in ELP and BLP, and hence we have labelled it as such. It should be noted that in this task, participants were not instructed to respond quickly, and were discouraged to guess (large penalty for labelling nonwords as a known word).","Mandera, P., et al. (2019). ""Recognition times for 62 thousand English words: Data from the English Crowdsourcing Project."" Behavior Research Methods: 1-20.",visual_lexical_decision,,numeric,61851
LexicalD_RT_V_BLP,The mean visual lexical decision latency (in msec) for a particular word across participants from the British Lexicon Project.,"Keuleers, E., et al. (2012). ""The British Lexicon Project: Lexical decision data for 28,730 monosyllabic and disyllabic English words."" Behavior Research Methods44(1): 287-304.",visual_lexical_decision,,numeric,28514
LexicalD_ACC_V_ELP,The proportion of accurate responses of visual lexical decision for a particular word from the English Lexicon Project.,"Balota, D. A., et al. (2007). ""The English lexicon project."" Behavior Research Methods39(3): 445-459.",visual_lexical_decision,,numeric,40837
